"","ages","Stimulating","Anxiety_producing","Calming","Love","Blissful","Energetic","Sociable","Charming","Bizarre","Intense","Difficult","Funny","Interesting","Visual","Spiritual","Enhanced_body_feeling","Bodily_discomfort","Enhanced_imagination","Rational","Irritating","Confusing","Fast_paced","Trivial","Long_lasting","Emotional","Constructive","Self_centered","Dangerous","Constructive","Erotic","Worth_it","Sneaky","Too_much","Sobering","Spaced_out","Colorful","Relieving","Insightful","Profound","Mystical","Incredible","Life_changing","Impairing","Subtle","Easy_to_overdoo","Hard_to_resist","Intellectual","Enhances_aesthetics","Digital","Artistic","Enjoyment_of_music","Delight_in_food","substance","times_taken","samples"
"1",24,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,1,-1,0,1,-1,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,"Marijuana",6,64
"2",51,1,0,1,1,1,0,0,0,1,1,0,1,1,-1,1,1,0,2,0,-1,0,-1,-1,0,1,0,0,-2,0,1,1,0,-1,-1,1,0,2,2,1,1,1,1,0,0,-1,1,1,1,0,1,1,2,"Marijuana",7,64
"3",21,2,0,0,2,2,2,1,1,1,2,0,2,2,2,2,2,0,2,0,0,0,1,-2,2,2,2,2,-2,2,0,2,0,0,0,2,2,1,2,2,2,2,2,0,0,0,0,1,2,0,2,2,2,"LSD",3,74
"4",27,2,-2,1,2,2,2,-1,0,2,2,1,0,2,2,2,2,-1,1,-1,0,1,2,0,-2,1,1,1,-2,1,0,2,0,0,0,1,2,1,1,2,2,2,1,1,-2,0,1,1,1,0,2,2,0,"DMT",5,17
"5",49,0,0,2,2,2,1,0,0,0,0,0,2,1,0,2,1,-2,2,2,-2,-2,-2,-2,0,1,1,-2,-2,1,0,1,1,-2,-2,-2,-2,2,2,2,1,0,0,0,1,1,0,2,2,0,2,2,2,"Marijuana",6,64
"6",26,2,0,1,2,2,1,1,2,1,2,-1,2,2,1,1,1,0,2,-2,-2,-2,1,-1,1,2,0,-1,-1,0,1,2,-2,-2,1,-1,2,2,2,2,2,2,1,-1,-2,0,1,2,2,-2,2,2,2,"LSD",5,74
"7",49,1,2,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,-1,0,2,0,0,-2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,0,0,0,0,"Saint John's Wort",1,2
"8",49,1,-2,0,1,0,1,2,1,0,0,0,1,0,0,0,-1,-1,1,0,1,1,0,0,1,2,-1,1,2,-1,0,-2,0,2,-2,0,0,0,-2,0,0,0,0,2,0,2,-1,0,0,0,0,0,0,"Alcohol",7,34
"9",23,2,0,-1,-1,-1,2,2,2,2,2,0,1,2,0,0,2,1,1,-2,0,1,2,0,0,1,-2,2,2,-2,0,-2,2,2,-2,0,0,-2,0,1,0,-2,-2,-1,-1,-2,0,-2,-2,-2,0,1,-2,"Cocaine",3,10
"10",49,1,2,2,1,1,-2,-2,-2,0,2,2,-2,2,2,2,2,-1,2,1,1,1,-2,-2,1,-1,-2,2,-2,-1,1,2,1,1,-2,2,2,-1,2,2,2,2,1,2,1,2,-2,2,2,-2,1,2,1,"Marijuana",6,64
